"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 11","29,968.0","29,614.0","30,343.0","29,579.0","3.26K","1.20%"
"2023- 04- 10","29,614.0","28,320.0","29,724.0","28,159.0","2.24K","4.57%"
"2023- 04- 09","28,320.0","27,901.0","28,510.0","27,780.0","0.68K","1.50%"
"2023- 04- 08","27,901.0","27,889.0","28,135.0","27,839.0","0.40K","0.04%"
"2023- 04- 07","27,889.0","28,018.0","28,082.0","27,755.0","0.33K","-0.46%"
"2023- 04- 06","28,018.0","28,153.0","28,163.0","27,728.0","0.88K","-0.48%"
"2023- 04- 05","28,153.0","28,153.0","28,750.0","27,837.0","1.52K","0.00%"
"2023- 04- 04","28,153.0","27,790.0","28,445.0","27,671.0","1.08K","1.31%"
"2023- 04- 03","27,790.0","28,173.0","28,482.0","27,231.0","2.64K","-1.36%"
"2023- 04- 02","28,173.0","28,443.0","28,515.0","27,867.0","1.00K","-0.95%"
"2023- 04- 01","28,443.0","28,460.0","28,809.0","28,210.0","0.86K","-0.06%"
"2023- 03- 31","28,460.0","28,017.0","28,651.0","27,556.0","1.32K","1.58%"
"2023- 03- 30","28,017.0","28,344.0","29,170.0","27,692.0","2.68K","-1.15%"
"2023- 03- 29","28,344.0","27,265.0","28,645.0","27,253.0","2.12K","3.96%"
"2023- 03- 28","27,265.0","27,129.0","27,512.0","26,637.0","1.44K","0.50%"
"2023- 03- 27","27,129.0","27,986.0","28,027.0","26,542.0","1.94K","-3.06%"
"2023- 03- 26","27,986.0","27,482.0","28,171.0","27,438.0","1.17K","1.83%"
"2023- 03- 25","27,482.0","27,458.0","27,779.0","27,173.0","0.86K","0.09%"
"2023- 03- 24","27,458.0","28,304.0","28,372.0","27,017.0","1.92K","-2.99%"
"2023- 03- 23","28,304.0","27,263.0","28,741.0","27,121.0","3.12K","3.82%"
"2023- 03- 22","27,263.0","28,112.0","28,813.0","26,620.0","3.93K","-3.02%"
"2023- 03- 21","28,112.0","27,712.0","28,435.0","27,313.0","1.66K","1.44%"
"2023- 03- 20","27,712.0","27,936.0","28,438.0","27,130.0","2.70K","-0.80%"
"2023- 03- 19","27,936.0","26,913.0","28,329.0","26,838.0","4.34K","3.80%"
"2023- 03- 18","26,913.0","27,350.0","27,605.0","26,595.0","3.08K","-1.60%"
"2023- 03- 17","27,350.0","25,057.0","27,562.0","24,954.0","9.82K","9.15%"
"2023- 03- 16","25,057.0","24,321.0","25,213.0","24,202.0","2.42K","3.03%"
